id,x,y,z,qx,qy,qz,qw
0,-4.13021e-09,2.24817e-08,1.41983e-10,-1.20673e-07,1.12503e-07,-2.93263e-06,1
1,4.15448,-0.0665509,0.000388744,-0.0107794,0.00867341,-0.00191245,0.999902
2,8.3125,-0.179545,-0.0164214,-0.00820453,0.00814544,0.00146849,0.999932
3,12.6001,-0.187383,-0.0964056,-0.0102868,-0.00754994,0.0174029,0.999767
4,16.787,-0.110243,-0.0728771,-0.00249748,0.00268521,0.0264091,0.999644
5,20.9349,0.0216197,-0.0974682,-0.00896986,0.00307146,0.023542,0.999678
6,25.4523,0.10274,-0.14361,-0.00502421,0.010858,0.0186156,0.999755
7,29.5253,0.138692,-0.217019,-0.00703838,0.0156439,0.0175464,0.999699
8,34.0056,0.252659,-0.324515,-0.00489233,0.0143604,0.0407965,0.999052
9,38.293,0.777134,-0.424774,0.00398513,0.0178456,0.126935,0.991742
10,42.1826,2.28085,-0.561896,0.0052887,0.0136116,0.261,0.965228
11,45.6448,4.85457,-0.637458,0.00877292,0.0162327,0.393183,0.919275
12,48.1355,8.1027,-0.681984,0.00795793,0.0173827,0.504485,0.863209
13,50.0463,11.9793,-0.734659,0.00528674,0.0144714,0.554228,0.832222
14,51.5786,15.7177,-0.780918,0.00142041,0.0105142,0.575252,0.817907
15,52.8222,19.5595,-0.823895,-0.00459955,0.0115372,0.670759,0.741572
16,52.3646,23.8657,-0.834817,0.0171561,-0.00569049,0.830574,0.556615
17,50.2986,27.3004,-0.721276,0.0140356,0.00307264,0.91438,0.404601
18,47.2089,30.1696,-0.644409,0.0138916,0.0142889,0.953352,0.301205
19,43.5936,32.5742,-0.572744,0.0169283,0.0161352,0.964362,0.263549
20,39.9542,34.7807,-0.488149,0.0128875,0.0176771,0.96799,0.250035
21,35.9287,37.0576,-0.42208,0.0199684,0.0182448,0.970545,0.239396
22,32.3626,38.9833,-0.314791,0.0131419,0.0169829,0.972768,0.230781
