id,x,y,z,qx,qy,qz,qw
0,-4.74043e-09,2.21916e-08,-1.35548e-10,-3.39229e-07,2.52386e-08,-2.24559e-06,1
1,4.15448,-0.0665452,0.000389485,-0.0107803,0.00867304,-0.00190985,0.999902
2,8.3125,-0.179519,-0.0164195,-0.00820592,0.00814469,0.00147273,0.999932
3,12.6001,-0.187315,-0.0963977,-0.0102874,-0.00755156,0.0174058,0.999767
4,16.787,-0.110126,-0.0728707,-0.00249884,0.00268484,0.0264158,0.999644
5,20.935,0.0217876,-0.0974715,-0.008974,0.00307163,0.023553,0.999678
6,25.4523,0.103032,-0.143636,-0.00502708,0.0108605,0.0186342,0.999755
7,29.5253,0.139163,-0.217096,-0.00703525,0.0156481,0.0175769,0.999698
8,34.0055,0.253295,-0.324596,-0.00488774,0.0143656,0.0408266,0.999051
9,38.2929,0.778011,-0.42489,0.00398666,0.0178492,0.12696,0.991739
10,42.1824,2.28193,-0.562037,0.00529191,0.0136152,0.261025,0.965221
11,45.6445,4.85583,-0.637615,0.00877635,0.0162357,0.393207,0.919265
12,48.135,8.10408,-0.682145,0.00796148,0.0173852,0.504507,0.863196
13,50.0456,11.9808,-0.734817,0.00529042,0.0144735,0.55425,0.832208
14,51.5777,15.7192,-0.781071,0.00142413,0.010516,0.575274,0.817892
15,52.8211,19.5611,-0.82404,-0.00459572,0.0115383,0.670778,0.741554
16,52.3632,23.8673,-0.834939,0.0171604,-0.00568986,0.830589,0.556593
17,50.2971,27.3019,-0.721367,0.0140396,0.00307248,0.914391,0.404577
18,47.2072,30.1709,-0.644467,0.013895,0.0142884,0.95336,0.301179
19,43.5918,32.5754,-0.572767,0.0169315,0.0161347,0.96437,0.263522
20,39.9523,34.7816,-0.48814,0.0128906,0.0176765,0.967997,0.250008
21,35.9266,37.0583,-0.422037,0.0199713,0.0182444,0.970552,0.239368
22,32.3605,38.9838,-0.314719,0.0131447,0.0169824,0.972775,0.230753
23,28.5591,40.9127,-0.236266,0.0124664,0.0136556,0.976156,0.216281
24,24.3984,42.8759,-0.158004,0.0105321,0.0153326,0.980211,0.197081
25,20.3224,44.6354,-0.0918969,0.0119315,0.0192607,0.983193,0.181159
26,15.8998,46.3652,-0.0183966,0.0108994,0.0194153,0.985698,0.167045
27,11.3294,48.0084,0.0376125,0.00937402,0.019299,0.988153,0.151966
28,7.42843,49.2751,0.0840138,0.00872747,0.019548,0.99038,0.136711
29,2.60643,50.63,0.150927,0.00482685,0.0163996,0.992925,0.117502
30,-2.19483,51.8077,0.190224,0.00334501,0.0175146,0.99479,0.100373
31,-6.83197,52.7951,0.230972,0.00100993,0.0167193,0.99598,0.0879958
32,-11.6411,53.7066,0.252857,-0.000347687,0.0158999,0.996894,0.0771254
33,-16.2704,54.4694,0.256329,-0.00294389,0.0176421,0.997939,0.0616346
34,-20.7965,55.0742,0.240959,-0.00598945,0.0167205,0.998729,0.0471826
35,-25.2804,55.5552,0.209096,-0.00924695,0.0192672,0.999216,0.0333268
36,-29.5585,55.888,0.147712,-0.00832035,0.0236804,0.99952,0.0181364
37,-33.7999,56.0734,0.110983,-0.0135098,0.0217421,0.999672,0.00105187
38,-38.5097,56.0875,0.0128318,-0.0140475,0.0210933,0.99949,-0.0194107
39,-42.7442,55.9405,-0.069746,-0.0135434,0.0165285,0.999034,-0.0383923
40,-47.1916,55.6338,-0.112236,-0.0214404,0.0240937,0.997714,-0.0593847
41,-51.314,55.1624,-0.22823,-0.0173503,0.016436,0.997457,-0.0671367
42,-55.3935,54.7215,-0.314319,-0.0139425,0.0180853,0.998817,-0.0429261
43,-59.517,55.0053,-0.440185,-0.0191236,0.0146369,0.992484,0.119977
44,-63.0754,56.8338,-0.619797,0.0102693,-0.0145642,0.923358,0.383528
45,-65.4797,60.3379,-0.591374,-0.0335489,-0.00217701,0.859172,0.510583
46,-67.2557,64.1935,-0.813866,-0.0317215,-0.00551807,0.833825,0.551089
47,-68.7503,68.3486,-1.0062,-0.0443712,-0.00356921,0.806596,0.589423
48,-69.6653,72.3064,-1.25835,-0.0174772,-0.00844156,0.774106,0.632758
49,-70.2199,76.4975,-1.27762,0.00472915,-0.0251679,0.733046,0.679697
50,-70.1424,80.5874,-1.09808,-0.0116424,-0.0108777,0.678324,0.73459
51,-69.4296,84.8085,-1.12854,-0.028408,0.0104776,0.619982,0.784032
52,-67.7995,88.9001,-1.33836,-0.0345965,0.00951674,0.509202,0.859899
53,-65.3513,92.1428,-1.51415,-0.0297076,0.00647048,0.421297,0.906413
54,-62.4458,95.2735,-1.65958,-0.0282616,0.0060876,0.40898,0.912085
55,-59.4862,98.5598,-1.80775,-0.0288924,0.00887552,0.422135,0.906029
56,-56.6472,101.925,-1.97761,-0.0323693,0.0131855,0.435428,0.899545
57,-53.7488,105.469,-2.19152,-0.0316386,0.00810036,0.44152,0.896657
58,-50.8445,109.101,-2.37378,-0.0318649,0.00973774,0.446576,0.894125
59,-47.9361,112.873,-2.57486,-0.0351198,0.0131945,0.45154,0.891462
60,-45.5375,116.05,-2.76607,-0.036178,0.0117606,0.458848,0.8877
61,-42.8173,119.789,-3.01056,-0.0364909,0.0127203,0.466414,0.883722
62,-40.1841,123.548,-3.23064,-0.0375845,0.00624888,0.46988,0.881908
63,-37.6196,127.201,-3.39602,-0.0407945,-0.00110859,0.467394,0.883107
64,-35.1068,130.734,-3.53335,-0.0406022,-0.0005776,0.466382,0.883651
65,-32.4757,134.431,-3.66806,-0.0384585,-0.00241173,0.471072,0.881253
66,-29.7933,138.316,-3.79817,-0.0373031,-0.00314373,0.478023,0.877549
67,-27.2331,142.146,-3.9226,-0.0353797,-0.00184298,0.485476,0.873532
68,-24.7588,146.007,-4.03245,-0.0366155,0.000828007,0.489758,0.871089
69,-22.5211,149.409,-4.14035,-0.0353874,0.00036534,0.481235,0.875877
70,-20.1895,152.995,-4.24116,-0.0332604,-0.000651069,0.495221,0.86813
71,-18.0178,156.851,-4.34875,-0.035998,0.00150043,0.538959,0.841561
72,-16.5179,160.952,-4.51581,-0.0342586,0.00546772,0.645627,0.762865
73,-16.5031,165.045,-4.73248,-0.0315738,0.00765592,0.787389,0.615599
74,-18.2419,168.972,-4.99829,-0.00863875,0.0116733,0.895272,0.445284
75,-21.2168,172.012,-5.04486,0.000700708,0.00628547,0.952548,0.304323
76,-24.6414,174.188,-5.08909,-0.0278361,0.0160437,0.959768,0.27895
77,-27.7703,176.876,-5.30485,-0.0166334,0.00352513,0.883284,0.46853
78,-28.905,181.005,-5.42402,-0.0155766,-0.000620132,0.679702,0.733323
79,-27.443,184.949,-5.48796,-0.0173281,0.00515585,0.495667,0.868324
80,-25.0214,188.378,-5.60387,-0.021301,0.0100213,0.458139,0.888569
81,-22.6336,191.582,-5.74781,-0.0211852,0.0090373,0.460073,0.887583
82,-20.1798,194.954,-5.88426,-0.0224428,0.0103119,0.467364,0.88372
83,-17.7825,198.408,-6.03195,-0.0244752,0.00986305,0.480778,0.876445
84,-15.5723,201.87,-6.16804,-0.0194207,0.00618503,0.52073,0.853478
85,-14.0593,205.938,-6.29866,-0.0139196,0.00872866,0.658617,0.752299
86,-14.2447,210.085,-6.41854,-0.00772451,0.0116101,0.808137,0.588828
87,-16.3086,213.793,-6.52158,-0.000324115,0.0151496,0.918353,0.395472
88,-19.5423,216.407,-6.54097,-0.0140064,0.0152813,0.961936,0.272488
89,-22.9695,218.472,-6.68722,-0.0193416,0.0122451,0.966024,0.257434
90,-26.5723,220.769,-6.85086,-0.0105275,0.00668411,0.957851,0.286996
91,-30.1374,223.373,-6.96966,-0.0132595,0.00556347,0.950666,0.309882
92,-33.3159,225.843,-7.07566,-0.0104469,0.0078399,0.950008,0.311951
93,-36.6308,228.393,-7.17137,-0.00924003,0.0135451,0.951832,0.306183
